"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2017","321.26","309.38","321.99","309.10","9.68M","4.58%"
"May 08, 2017","307.19","310.90","313.79","305.82","7.01M","-0.38%"
"May 05, 2017","308.35","298.00","308.55","296.80","8.18M","4.36%"
"May 04, 2017","295.46","307.44","307.77","290.76","14.15M","-5.00%"
"May 03, 2017","311.02","317.67","321.53","310.45","7.13M","-2.47%"
"May 02, 2017","318.89","324.00","327.66","316.56","5.38M","-1.22%"
"May 01, 2017","322.83","314.88","327.25","314.81","8.83M","2.79%"
"Apr 28, 2017","314.07","309.83","314.80","308.00","4.51M","1.76%"
"Apr 27, 2017","308.63","311.69","313.09","307.50","3.47M","-0.50%"
"Apr 26, 2017","310.17","312.37","314.50","309.00","4.70M","-1.15%"
"Apr 25, 2017","313.79","308.00","313.98","305.86","6.74M","1.87%"
"Apr 24, 2017","308.03","309.22","310.55","306.02","5.08M","0.80%"
"Apr 21, 2017","305.60","302.00","306.40","300.42","4.51M","1.02%"
"Apr 20, 2017","302.51","306.51","309.15","300.23","6.15M","-0.99%"
"Apr 19, 2017","305.52","302.46","306.62","302.11","3.90M","1.76%"
"Apr 18, 2017","300.25","299.70","300.84","297.90","3.04M","-0.39%"
"Apr 17, 2017","301.44","302.70","304.00","298.68","4.14M","-0.84%"
"Apr 13, 2017","304.00","296.70","307.39","295.30","9.28M","2.41%"
"Apr 12, 2017","296.84","306.34","308.45","296.32","6.05M","-3.85%"
"Apr 11, 2017","308.71","313.38","313.47","305.50","5.72M","-1.18%"
"Apr 10, 2017","312.39","309.15","313.73","308.71","7.66M","3.26%"
"Apr 07, 2017","302.54","297.50","302.69","297.15","4.58M","1.29%"
"Apr 06, 2017","298.70","296.88","301.94","294.10","5.52M","1.25%"
"Apr 05, 2017","295.00","302.04","304.88","294.20","7.88M","-2.86%"
"Apr 04, 2017","303.70","296.89","304.81","294.53","10.13M","1.74%"
"Apr 03, 2017","298.52","286.90","299.00","284.58","13.89M","7.27%"
"Mar 31, 2017","278.30","278.73","279.68","276.32","3.29M","0.14%"
"Mar 30, 2017","277.92","278.04","282.00","277.21","4.15M","0.19%"
"Mar 29, 2017","277.38","278.34","279.60","275.54","3.68M","-0.03%"
"Mar 28, 2017","277.45","277.02","280.68","275.00","7.99M","2.68%"
"Mar 27, 2017","270.22","260.60","270.57","259.75","6.23M","2.68%"
"Mar 24, 2017","263.16","255.70","263.89","255.01","5.65M","3.29%"
"Mar 23, 2017","254.78","255.39","257.67","253.30","3.32M","-0.09%"
"Mar 22, 2017","255.01","251.56","255.07","250.51","4.06M","1.73%"
"Mar 21, 2017","250.68","262.83","264.80","250.24","6.91M","-4.29%"
"Mar 20, 2017","261.92","260.60","264.55","258.82","3.61M","0.16%"
"Mar 17, 2017","261.50","264.00","265.33","261.20","6.50M","-0.21%"
"Mar 16, 2017","262.05","262.40","265.75","259.06","7.13M","2.47%"
"Mar 15, 2017","255.73","257.00","261.00","254.27","5.33M","-0.88%"
"Mar 14, 2017","258.00","246.11","258.12","246.02","7.60M","4.81%"
"Mar 13, 2017","246.17","244.82","246.85","242.78","3.02M","1.02%"
"Mar 10, 2017","243.69","246.21","246.50","243.00","3.07M","-0.49%"
"Mar 09, 2017","244.90","247.63","248.66","243.00","3.88M","-0.80%"
"Mar 08, 2017","246.87","247.00","250.07","245.32","3.73M","-0.69%"
"Mar 07, 2017","248.59","251.92","253.89","248.32","3.46M","-1.04%"
"Mar 06, 2017","251.21","247.91","251.70","247.51","3.36M","-0.14%"
"Mar 03, 2017","251.57","250.74","251.90","249.00","2.93M","0.44%"
"Mar 02, 2017","250.48","249.71","253.28","248.27","3.35M","0.18%"
"Mar 01, 2017","250.02","254.18","254.85","249.11","4.81M","0.01%"
"Feb 28, 2017","249.99","244.19","251.00","243.90","6.08M","1.53%"
"Feb 27, 2017","246.23","248.17","248.36","242.01","11.46M","-4.19%"
"Feb 24, 2017","257.00","252.66","258.25","250.20","8.17M","0.39%"
"Feb 23, 2017","255.99","264.00","264.66","255.56","14.92M","-6.41%"
"Feb 22, 2017","273.51","280.31","283.45","272.60","8.75M","-1.40%"
"Feb 21, 2017","277.39","275.45","281.40","274.01","5.68M","1.90%"
"Feb 17, 2017","272.23","265.80","272.89","264.15","6.26M","1.22%"
"Feb 16, 2017","268.95","277.60","280.00","268.50","7.08M","-3.86%"
"Feb 15, 2017","279.76","280.00","282.24","276.44","4.95M","-0.43%"
"Feb 14, 2017","280.98","279.03","287.39","278.61","7.35M","0.14%"
"Feb 13, 2017","280.60","270.74","280.79","270.51","7.03M","4.22%"
"Feb 10, 2017","269.23","269.79","270.95","266.11","3.62M","0.01%"
"Feb 09, 2017","269.20","266.25","271.18","266.15","7.82M","2.72%"
"Feb 08, 2017","262.08","257.35","263.36","256.20","3.93M","1.79%"
"Feb 07, 2017","257.48","258.19","260.00","256.42","4.24M","-0.11%"
"Feb 06, 2017","257.77","251.00","257.82","250.63","3.56M","2.56%"
"Feb 03, 2017","251.33","251.91","252.18","249.68","2.19M","-0.09%"
"Feb 02, 2017","251.55","248.34","252.42","247.71","2.50M","0.93%"
"Feb 01, 2017","249.24","253.05","253.20","249.05","3.96M","-1.07%"
"Jan 31, 2017","251.93","249.24","255.89","247.70","4.12M","0.52%"
"Jan 30, 2017","250.63","252.53","255.29","247.10","3.80M","-0.92%"
"Jan 27, 2017","252.95","251.38","253.00","248.52","3.17M","0.17%"
"Jan 26, 2017","252.51","254.29","255.74","250.75","3.15M","-0.77%"
"Jan 25, 2017","254.47","257.31","258.46","251.80","5.15M","-0.05%"
"Jan 24, 2017","254.61","250.00","254.80","249.65","4.97M","2.29%"
"Jan 23, 2017","248.92","245.85","250.89","245.50","6.26M","1.71%"
"Jan 20, 2017","244.73","245.46","246.00","243.01","4.20M","0.40%"
"Jan 19, 2017","243.76","247.25","248.68","240.75","7.73M","2.27%"
"Jan 18, 2017","238.36","236.65","239.71","235.58","3.77M","1.18%"
"Jan 17, 2017","235.58","236.70","239.96","234.37","4.62M","-0.91%"
"Jan 13, 2017","237.75","230.00","237.85","229.59","6.09M","3.55%"
"Jan 12, 2017","229.59","229.06","230.70","225.58","3.79M","-0.06%"
"Jan 11, 2017","229.73","229.07","229.98","226.68","3.65M","-0.06%"
"Jan 10, 2017","229.87","232.00","232.00","226.89","3.66M","-0.61%"
"Jan 09, 2017","231.28","228.97","231.92","228.00","3.98M","0.99%"
"Jan 06, 2017","229.01","226.93","230.31","225.45","5.53M","1.00%"
"Jan 05, 2017","226.75","226.42","227.48","221.95","5.91M","-0.11%"
"Jan 04, 2017","226.99","214.75","228.00","214.31","11.21M","4.61%"
"Jan 03, 2017","216.99","214.86","220.33","210.96","5.92M","1.54%"
"Dec 30, 2016","213.69","216.30","217.50","211.68","4.64M","-0.46%"
