"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2016","115.25","115.43","115.75","115.24","159.94K","-0.17%"
"Oct 24, 2016","115.45","115.13","115.52","115.03","141.25K","0.16%"
"Oct 21, 2016","115.27","114.86","115.36","114.61","174.70K","-0.75%"
"Oct 20, 2016","116.14","115.88","116.32","115.63","161.56K","1.09%"
"Oct 19, 2016","114.89","115.13","115.38","114.89","112.61K","-0.14%"
"Oct 18, 2016","115.05","115.52","115.52","114.83","188.11K","-0.33%"
"Oct 17, 2016","115.43","115.18","115.84","115.08","163.94K","0.30%"
"Oct 14, 2016","115.09","115.32","115.83","115.05","156.79K","0.35%"
"Oct 13, 2016","114.69","114.53","115.20","114.09","231.70K","-0.40%"
"Oct 12, 2016","115.15","115.00","115.35","114.64","157.72K","-0.15%"
"Oct 11, 2016","115.32","115.80","115.80","115.02","224.60K","-0.94%"
"Oct 10, 2016","116.42","116.13","116.83","116.06","165.18K","0.46%"
"Oct 07, 2016","115.89","115.96","116.09","115.22","228.88K","-0.47%"
"Oct 06, 2016","116.44","116.22","116.65","116.18","133.61K","-0.54%"
"Oct 05, 2016","117.07","116.43","117.17","116.43","202.29K","1.51%"
"Oct 04, 2016","115.33","115.56","116.24","115.11","166.11K","0.06%"
"Oct 03, 2016","115.26","114.49","115.67","114.34","609.50K","-0.69%"
"Sep 30, 2016","116.06","115.26","116.58","115.00","376.30K","0.06%"
"Sep 29, 2016","115.99","116.53","116.85","115.76","400.26K","-1.39%"
"Sep 28, 2016","117.63","117.35","117.75","116.48","188.06K","-0.58%"
"Sep 27, 2016","118.32","118.60","118.60","117.79","325.88K","1.04%"
"Sep 26, 2016","117.10","116.86","117.32","116.50","317.20K","-0.48%"
"Sep 23, 2016","117.66","117.62","117.89","117.26","402.20K","-2.60%"
"Sep 22, 2016","120.80","120.83","121.17","120.33","508.34K","1.13%"
"Sep 21, 2016","119.45","119.63","120.20","118.01","402.67K","2.57%"
"Sep 20, 2016","116.46","116.85","117.01","116.32","195.43K","1.21%"
"Sep 19, 2016","115.07","115.25","116.03","114.97","221.23K","0.38%"
"Sep 16, 2016","114.63","114.87","115.20","114.38","600.22K","-3.00%"
"Sep 15, 2016","118.17","117.02","118.37","116.82","224.93K","0.61%"
"Sep 14, 2016","117.45","117.85","117.85","117.31","291.79K","-1.14%"
"Sep 13, 2016","118.81","119.34","119.82","118.36","350.04K","-1.28%"
"Sep 12, 2016","120.35","118.66","120.49","118.66","245.52K","1.42%"
"Sep 09, 2016","118.66","120.00","120.15","118.64","370.57K","-1.94%"
"Sep 08, 2016","121.01","120.78","121.27","120.65","164.45K","0.22%"
"Sep 07, 2016","120.74","121.37","121.80","120.59","268.76K","0.06%"
"Sep 06, 2016","120.67","120.51","120.75","120.08","292.56K","-1.15%"
"Sep 02, 2016","122.08","121.52","122.09","121.52","339.02K","0.88%"
"Sep 01, 2016","121.02","121.59","122.00","120.57","341.12K","0.32%"
"Aug 31, 2016","120.63","121.19","121.37","120.04","395.30K","-0.50%"
"Aug 30, 2016","121.24","121.23","121.41","120.94","169.53K","0.75%"
"Aug 29, 2016","120.34","120.02","120.44","120.01","205.62K","1.45%"
"Aug 26, 2016","118.62","118.27","119.31","117.97","405.46K","-1.39%"
"Aug 25, 2016","120.29","120.76","120.96","120.21","354.32K","-0.50%"
"Aug 24, 2016","120.90","121.58","121.77","120.73","368.51K","0.92%"
"Aug 23, 2016","119.80","120.27","120.40","119.80","169.87K","-0.65%"
"Aug 22, 2016","120.58","120.31","120.76","120.20","332.24K","0.80%"
"Aug 19, 2016","119.62","119.47","119.85","119.40","356.79K","0.57%"
"Aug 18, 2016","118.94","118.25","119.16","118.25","775.20K","-0.22%"
"Aug 17, 2016","119.20","118.53","119.22","118.52","537.09K","1.64%"
"Aug 16, 2016","117.28","117.00","117.71","116.80","221.62K","-0.26%"
"Aug 15, 2016","117.58","117.50","117.89","117.50","120.15K","-0.18%"
"Aug 12, 2016","117.79","117.57","118.18","117.47","239.90K","0.02%"
"Aug 11, 2016","117.77","117.23","117.94","117.12","264.72K","0.70%"
"Aug 10, 2016","116.95","117.01","117.35","116.90","191.36K","-0.40%"
"Aug 09, 2016","117.42","117.43","117.50","116.69","342.13K","0.01%"
"Aug 08, 2016","117.41","118.13","118.52","117.29","667.93K","1.25%"
"Aug 05, 2016","115.96","115.84","116.23","115.41","602.92K","3.25%"
"Aug 04, 2016","112.31","112.27","112.48","111.31","907.71K","2.04%"
"Aug 03, 2016","110.07","109.80","110.08","109.37","357.96K","0.09%"
"Aug 02, 2016","109.97","110.34","110.80","109.08","534.74K","-1.13%"
"Aug 01, 2016","111.23","112.12","112.20","110.98","445.10K","-0.33%"
"Jul 29, 2016","111.60","112.42","112.79","110.88","756.52K","0.76%"
"Jul 28, 2016","110.76","111.22","111.32","109.90","600.03K","0.17%"
"Jul 27, 2016","110.57","111.41","111.46","110.07","384.79K","0.89%"
"Jul 26, 2016","109.60","109.24","109.77","109.18","198.18K","-0.07%"
"Jul 25, 2016","109.68","109.90","110.14","109.62","205.32K","0.00%"
"Jul 22, 2016","109.68","109.62","109.88","109.50","206.06K","0.75%"
"Jul 21, 2016","108.86","109.16","109.48","108.67","292.85K","-0.40%"
"Jul 20, 2016","109.30","108.90","109.40","108.72","192.90K","0.68%"
"Jul 19, 2016","108.56","108.68","108.70","108.13","220.51K","-0.41%"
"Jul 18, 2016","109.01","108.68","109.18","108.55","233.87K","0.17%"
"Jul 15, 2016","108.82","108.94","109.14","108.54","351.35K","0.78%"
"Jul 14, 2016","107.98","108.39","108.41","107.82","296.79K","0.11%"
"Jul 13, 2016","107.86","108.10","108.49","107.26","537.17K","1.24%"
"Jul 12, 2016","106.54","106.75","107.28","106.51","456.71K","0.83%"
"Jul 11, 2016","105.66","104.92","105.88","104.84","679.31K","3.52%"
"Jul 08, 2016","102.07","101.21","102.16","101.08","372.79K","1.47%"
"Jul 07, 2016","100.59","100.47","100.84","100.05","423.27K","0.81%"
"Jul 06, 2016","99.78","99.36","99.85","98.48","423.94K","0.60%"
"Jul 05, 2016","99.18","99.63","99.68","98.90","501.52K","-0.46%"
"Jul 01, 2016","99.64","99.58","100.21","99.37","515.14K","-0.35%"
"Jun 30, 2016","99.99","99.86","99.99","98.81","1.27M","-1.51%"
"Jun 29, 2016","101.52","100.61","101.81","100.46","484.07K","1.67%"
"Jun 28, 2016","99.85","98.96","99.94","98.39","967.67K","-0.41%"
"Jun 27, 2016","100.26","101.18","101.18","99.30","695.01K","-3.56%"
"Jun 24, 2016","103.96","104.13","105.18","103.05","783.68K","-5.45%"
"Jun 23, 2016","109.95","109.68","110.00","109.13","577.05K","3.24%"
"Jun 22, 2016","106.50","107.01","107.55","106.42","881.18K","-0.58%"
"Jun 21, 2016","107.12","107.30","107.66","107.00","568.14K","1.25%"
"Jun 20, 2016","105.80","106.71","107.05","105.63","567.92K","2.48%"
"Jun 17, 2016","103.24","103.26","103.56","102.48","395.14K","1.23%"
"Jun 16, 2016","101.99","101.01","102.12","100.58","305.90K","-0.48%"
"Jun 15, 2016","102.48","102.64","103.24","102.27","415.15K","1.39%"
"Jun 14, 2016","101.08","101.17","101.55","100.23","375.82K","-0.60%"
"Jun 13, 2016","101.69","102.26","102.70","101.49","310.02K","-1.46%"
"Jun 10, 2016","103.20","103.65","103.76","102.75","316.67K","-1.24%"
"Jun 09, 2016","104.50","104.50","104.71","104.15","283.32K","-1.09%"
"Jun 08, 2016","105.65","105.56","105.80","105.29","217.90K","0.15%"
"Jun 07, 2016","105.49","105.62","105.80","105.41","349.47K","-0.05%"
"Jun 06, 2016","105.54","105.62","105.84","105.10","559.81K","1.97%"
"Jun 03, 2016","103.50","103.69","104.07","102.77","449.85K","-0.31%"
"Jun 02, 2016","103.82","103.40","103.99","103.21","301.03K","0.47%"
"Jun 01, 2016","103.33","104.24","104.28","102.82","540.24K","-0.08%"
"May 31, 2016","103.41","103.35","103.98","102.63","673.30K","2.80%"
"May 27, 2016","100.59","101.80","101.87","100.23","417.57K","-1.64%"
"May 26, 2016","102.27","102.39","102.75","102.07","371.00K","-0.34%"
"May 25, 2016","102.62","101.65","102.76","101.44","771.97K","1.97%"
"May 24, 2016","100.64","99.93","101.11","99.40","852.54K","1.09%"
"May 23, 2016","99.55","100.32","100.32","99.46","447.89K","-1.05%"
"May 20, 2016","100.61","100.63","101.08","100.40","340.83K","1.00%"
"May 19, 2016","99.61","99.57","99.87","99.23","402.60K","-1.89%"
"May 18, 2016","101.53","100.60","102.09","100.53","374.37K","0.91%"
"May 17, 2016","100.61","101.01","101.36","100.50","306.06K","-0.21%"
"May 16, 2016","100.82","100.17","101.12","100.12","322.22K","1.03%"
"May 13, 2016","99.79","100.24","100.84","99.69","371.56K","-1.57%"
"May 12, 2016","101.38","101.99","101.99","100.66","1.04M","2.99%"
"May 11, 2016","98.44","101.32","101.73","98.02","1.24M","-6.09%"
"May 10, 2016","104.82","104.15","104.82","103.95","483.74K","2.15%"
"May 09, 2016","102.61","103.46","103.64","102.33","360.22K","0.64%"
"May 06, 2016","101.96","101.58","102.08","101.20","283.07K","0.68%"
"May 05, 2016","101.27","101.26","101.45","100.67","377.24K","0.65%"
"May 04, 2016","100.62","101.68","101.68","100.59","350.47K","-0.82%"
"May 03, 2016","101.45","101.67","101.92","100.60","315.58K","-1.00%"
